ID.o,Price, Volume, TradeTime, EventTime, Offer, Bid, Buyer, Seller, buyerID, sellerID, Realized Tot , R per Tr ,UnReal Q,U per tr Q, Unreal Tot $ ,User Volu,User%ofTotalVolu,Total Volu,TradeCount,1st HourVolu,1stHourUserVolu,1stHour?,last HourVolu,lastHourUserVolu,lastHour?,1stHR_Usr/1SThR_Tot,lastH-Usr/LAST-HR-Tot,1stHR_Usr/TOT_vol,lastH-Usr/TOT_vol,VWAP,Price*V,Range,(p2/p1)-1,ln(p2/p1),Net,Volat = stdev of LN,User Buy,User Sell,User Vol Traded (Buy+Sell),,,,,,,,,,,,Qualify
S9C915T,20.6,22,12:50:39,12041,20.6,20.300001,Server,Server,0,0,-9.50005,0,0,0,0,140,5.2930%,2645,9,868,40,0,2018,21,1,4.6083%,1.0406%,0.015122873,3.93435E-06,20.30570893,453.2,,0.01942,1.92313619%,-9.50005,,70,70,140,,,,,,,,,,,,T
S9C815T,20.5,19,12:57:32,12455,20.5,20.300001,Server,Server,0,0,970.2,0,-50,0,-1025,620,19.2846%,3215,28,958,85,0,2592,300,1,8.8727%,11.5741%,0.026438569,3.60002E-05,20.33748059,389.5,,0.02927,2.88481543%,-54.8,,285,335,620,,,,,,,,,,,,T
S9C615T,21,5,12:58:56,12539,20.9,20.6,Server,Server,0,10,7924.000059,105,-381,-5,-8001,421,14.6282%,2878,16,788,0,0,2416,401,1,0.0000%,16.5977%,0,5.76709E-05,20.34885342,105,,-0.00476,-0.47732788%,-76.999941,,20,401,421,,,,,,,,,,,,T
S9C315T,20,23,12:59:21,12568,21,20.7,Server,Server,0,10,3376.1,460,-190,-23,-3800,1620,42.5979%,3803,105,1564,345,0,2900,564,1,22.0588%,19.4483%,0.090717854,5.11393E-05,20.18711545,460,,0.03500,3.44014267%,-423.9,,715,905,1620,,,,,,,,,,,,T
S9C2315,21,11,12:51:40,12102,20.9,20.4,Server,Server,0,0,-672.300048,0,33,0,693,797,26.8803%,2965,57,1150,155,0,2116,66,1,13.4783%,3.1191%,0.05227656,1.05197E-05,20.28654307,231,,0.00000,0.00000000%,20.699952,,415,382,797,,,,,,,,,,,,T
S9C2215,21,4,12:57:17,12438,20.6,20.4,Server,Server,0,0,340.900008,0,-22,0,-462,520,17.4380%,2982,27,1028,121,0,2388,279,1,11.7704%,11.6834%,0.040576794,3.91798E-05,20.33329984,84,,0.00000,0.00000000%,-121.099992,,249,271,520,,,,,,,,,,,,T
S9C2115,20.7,20,12:56:44,12406,21,20.7,Server,Server,0,10,4.9,414,0,-20,0,242,8.5482%,2831,14,892,52,0,2202,90,1,5.8296%,4.0872%,0.018368068,1.44373E-05,20.34380081,414,,0.01449,1.43887375%,4.9,,121,121,242,,,,,,,,,,,,T
S9C2015,21,10,12:59:05,12546,21,20.4,Server,Server,10,0,-435.1,-210,20,10,420,310,9.2814%,3340,21,1546,168,0,2480,54,1,10.8668%,2.1774%,0.050299401,6.51922E-06,20.30622758,210,,0.00476,0.47506028%,-15.1,,165,145,310,,,,,,,,,,,,T
S9C1915,21,7,12:52:54,12178,20.9,20.2,Server,Server,0,0,1109.2,0,-53,0,-1113,165,6.0395%,2732,18,788,0,0,2296,109,1,0.0000%,4.7474%,0,1.7377E-05,20.32262079,147,,0.00000,0.00000000%,-3.8,,56,109,165,,,,,,,,,,,,T
S9C1615,21,16,12:57:31,12456,20.5,20.300001,Server,Server,0,0,17.799998,0,0,0,0,164,5.9399%,2761,12,848,32,0,2162,20,1,3.7736%,0.9251%,0.011590004,3.35049E-06,20.32260055,336,,-0.02381,-2.40975516%,17.799998,,82,82,164,,,,,,,,,,,,T
